identificativo,cifre,allenatore,evento,stato,nota
06808,5,10 ANIV,Multiple,coperta con allenatore,"Used for the Pokémon obtained at events that celebrated the tenth anniversary of Pokémon in Bryant Park, New York"
06845,5,タケシ Brock,Rhyhorn (Pokémon),coperta sul solo identificativo,Brock 's ID
06930,5,MYSTRY,Mystery Mew,coperta con allenatore,None
07012,5,ÉTÉ2012 EST2012 SMR2012 VER2012,Summer 2012 Pikachu,coperta sul solo identificativo,None
07013,5,デコロラ,Decolora Jirachi,coperta con allenatore,None
07016,5,GF,20th Anniversary Shaymin,coperta con allenatore,None
07016,5,포켓몬스파,Pika Pika Pokémon Spa Pikachu,coperta sul solo identificativo,None
07018,5,ばば,Baba Flygon,coperta con allenatore,None
07038,5,ALAMOS,European Darkrai,coperta con allenatore,None
07049,5,신세계,Multiple,non coperta,Used for an special event Feebas and Munchlax given away in South Korea
07054,5,WCS14K,Multiple,non coperta,"Used for the distribution of the 2014 Korean World Championship Series Pinsir , Tyranitar , and Manectric"
